"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10142620624,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10142608773,"THC Content","Cost/Price","Quality"
10142608136,"THC Content","Cost/Price","Quality"
10142605029,"THC Content","Quality","Cost/Price"
10142601611,"Quality","Cost/Price","Favorite Strain"
10142594482,"THC Content","Cost/Price","CBD Content"
10142388213,"THC Content","CBD Content","CBDa"
10142134805,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10140183753,"Other cannabinoids and terpenes","Cost/Price","Format (flower, vape, edibles, etc)"
10139120406,"CBDa","Quality","Cost/Price"
10139061871,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10138940954,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10138829296,"Quality","Cost/Price","Favorite Strain"
10138761669,"Cost/Price","CBD Content","Other cannabinoids and terpenes"
10138701567,"Quality","THC Content","Favorite Strain"
10138269829,"CBD Content","Other cannabinoids and terpenes","Quality"
10138213019,"Other cannabinoids and terpenes","THC Content","CBD Content"
10137991954,"Other cannabinoids and terpenes","CBD Content","THC Content"
10137894296,"Quality","Cost/Price","THC Content"
10136711414,"Other cannabinoids and terpenes","Cost/Price","THC Content"
10136679921,"Format (flower, vape, edibles, etc)","Cost/Price","CBD Content"
10136017627,"Quality","THC Content","CBD Content"
10135253638,"Format (flower, vape, edibles, etc)","THCa","Cost/Price"
10134674468,"CBD Content","Favorite Strain","Quality"
10134660232,"THC Content","THCa","Cost/Price"
10133620417,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10133562078,"THC Content","Other cannabinoids and terpenes","Quality"
10133394849,"Favorite Strain","THC Content","CBD Content"
10133294854,"Cost/Price","THC Content","CBD Content"
10133282449,"THC Content","CBD Content","Cost/Price"
10133256299,"THC Content","CBD Content","Quality"
10132796279,"THC Content","Favorite Strain","Quality"
10132248093,"Quality","CBD Content","THC Content"
10132169596,"CBD Content","THC Content","Quality"
10132045124,"CBD Content","THC Content","Quality"
10131986175,"Favorite Strain","Cost/Price","THC Content"
10131883157,"THC Content","Quality","Favorite Strain"
10131680927,"THC Content","Other cannabinoids and terpenes","Quality"
10131678338,"Favorite Strain","THC Content","CBD Content"
10131630769,"THC Content","CBD Content","Quality"
10131629272,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10131560058,"Favorite Strain","Cost/Price","THC Content"
10131554522,"THC Content","Quality","Favorite Strain"
10131387520,"THC Content","CBD Content","Cost/Price"
10131328156,"THC Content","Quality","Cost/Price"
