"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10229676773,"Quality","THC Content","CBD Content"
10229359369,"CBD Content","THC Content","Other cannabinoids and terpenes"
10195755785,"THC Content","CBD Content","Cost/Price"
10192622432,"CBD Content","Other cannabinoids and terpenes","Quality"
10192490652,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
10188478016,"Favorite Strain","THC Content","CBD Content"
10175275460,"THC Content","CBD Content","Quality"
10170229155,"Quality","CBD Content","THC Content"
10168000728,"CBD Content","THC Content","Cost/Price"
10166114652,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10153479989,"THCa","Other cannabinoids and terpenes","Cost/Price"
10139120406,"CBDa","Quality","Cost/Price"
10135253638,"Format (flower, vape, edibles, etc)","THCa","Cost/Price"
10129421681,"THC Content","CBD Content","Quality"
10127686715,"Format (flower, vape, edibles, etc)","Quality","THC Content"
10127518011,"Quality","CBD Content","Cost/Price"
10127257620,"THC Content","CBD Content","Quality"
10127001678,"THC Content","Cost/Price","Quality"
10120088047,"Cost/Price","Favorite Strain","THC Content"
10113325824,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10113042932,"THC Content","Cost/Price","Other cannabinoids and terpenes"
11121905332,"Other cannabinoids and terpenes","Cost/Price","Quality"
10937584160,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10234107777,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10232503546,"CBD Content","THC Content","Quality"
10232360437,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10230681725,"Other cannabinoids and terpenes","Quality","Cost/Price"
10230536550,"CBD Content","Other cannabinoids and terpenes","THCa"
10230431590,"CBD Content","THC Content","Quality"
10230399786,"CBD Content","Cost/Price","Quality"
10230315461,"THC Content","CBD Content","Favorite Strain"
10230283776,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10229935186,"CBD Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10229451801,"THC Content","Cost/Price","Favorite Strain"
10229332529,"THC Content","CBD Content","Other cannabinoids and terpenes"
10192853887,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
10190711176,"CBD Content","THC Content","Other cannabinoids and terpenes"
10171532408,"Quality","CBD Content","Format (flower, vape, edibles, etc)"
10154763373,"Cost/Price","CBD Content","THC Content"
10138138429,"Cost/Price","Quality","THC Content"
10123538695,"Quality","CBD Content","Cost/Price"
10122742896,"THC Content","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10118791641,"CBD Content","Quality","Favorite Strain"
10239513823,"Quality","CBD Content","THC Content"
10233619569,"Quality","Format (flower, vape, edibles, etc)","CBD Content"
10233274468,"CBD Content","THC Content","Quality"
10232097349,"Cost/Price","THC Content","CBD Content"
10231676273,"THC Content","CBD Content",""
10230517511,"Format (flower, vape, edibles, etc)","Quality","CBD Content"
10229749100,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10229669631,"Other cannabinoids and terpenes","Quality","Cost/Price"
10229666678,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229450623,"CBD Content","Cost/Price","Favorite Strain"
10229449766,"Quality","THC Content","Other cannabinoids and terpenes"
10229350099,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10229331171,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10199260945,"CBD Content","Cost/Price","Quality"
10192518925,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10188202259,"THC Content","Quality","Favorite Strain"
10179881172,"Quality","THC Content","Cost/Price"
10174913763,"THC Content","CBD Content","THCa"
10168596483,"Quality","THC Content","Cost/Price"
10162754933,"THC Content","CBD Content","Quality"
10152080971,"THCa","Cost/Price","Format (flower, vape, edibles, etc)"
10146160169,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10146124602,"Quality","CBD Content","Cost/Price"
10143109892,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10142594370,"THC Content","Other cannabinoids and terpenes","Favorite Strain"
10131268897,"Format (flower, vape, edibles, etc)","Cost/Price","CBD Content"
10129721114,"THC Content","Quality","Other cannabinoids and terpenes"
10127324019,"THC Content","Quality","Cost/Price"
10127180821,"THC Content","Cost/Price","Quality"
10118545790,"THC Content","THC Content","Quality"
10113758110,"THC Content","Quality","Cost/Price"
10112212744,"THC Content","CBD Content","Other cannabinoids and terpenes"
10468360710,"THC Content","CBD Content","CBDa"
10275638274,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10234579821,"Favorite Strain","CBD Content","Format (flower, vape, edibles, etc)"
10231985248,"Other cannabinoids and terpenes","CBD Content","Cost/Price"
10231678479,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10231390490,"CBD Content","THC Content","Quality"
10231385105,"CBD Content","THC Content","Other cannabinoids and terpenes"
10230330738,"CBD Content","Quality","THC Content"
10229707932,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10229649057,"Quality","Cost/Price","Other cannabinoids and terpenes"
10229627874,"Quality","THC Content","Cost/Price"
10229505070,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","THC Content"
10229426798,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10229408873,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10229396846,"CBD Content","THC Content","Quality"
10229326183,"Quality","Other cannabinoids and terpenes","Cost/Price"
10229300055,"CBD Content","THC Content","Other cannabinoids and terpenes"
10192677147,"CBD Content","THC Content","Other cannabinoids and terpenes"
10192041422,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10186789647,"THCa","CBD Content","Quality"
10167747571,"THC Content","CBD Content","Cost/Price"
10167303076,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10166265569,"THC Content","Quality","Cost/Price"
10166070277,"THC Content","Favorite Strain","Other cannabinoids and terpenes"
10159485373,"Quality","Other cannabinoids and terpenes","Cost/Price"
10156466084,"THC Content","Other cannabinoids and terpenes","Quality"
10146273078,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
10143858890,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10143179433,"THCa","Favorite Strain","Format (flower, vape, edibles, etc)"
10136017627,"Quality","THC Content","CBD Content"
10131149670,"THC Content","CBD Content","THCa"
10129519603,"THC Content","THCa","Favorite Strain"
10129486983,"THC Content","Cost/Price","Quality"
10127300314,"THC Content","Other cannabinoids and terpenes","THCa"
10120655061,"THC Content","CBD Content","Quality"
10113027515,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
11320679343,"Cost/Price","Quality","Other cannabinoids and terpenes"
10631124791,"THC Content","Cost/Price","Quality"
10630387074,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10263771500,"CBD Content","Quality","Other cannabinoids and terpenes"
10255835761,"CBD Content","Quality","Cost/Price"
10244599106,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10233820864,"THC Content","THC Content","THC Content"
10232035837,"Favorite Strain","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10231434152,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10230249825,"Favorite Strain","THC Content","Cost/Price"
10205960203,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10198838490,"Other cannabinoids and terpenes","THC Content","CBD Content"
10194311177,"THCa","CBD Content","CBD Content"
10192805695,"THC Content","Quality","Cost/Price"
10174274823,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10174148051,"THC Content","Cost/Price","Quality"
10173431235,"THC Content","Cost/Price","Quality"
10160136536,"THC Content","Cost/Price","Quality"
10146146224,"THC Content","Quality","Cost/Price"
10145514597,"Quality","Favorite Strain","THC Content"
10136711414,"Other cannabinoids and terpenes","Cost/Price","THC Content"
10131233757,"THC Content","Cost/Price","Quality"
10128242064,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
10127160872,"THC Content","Cost/Price","Favorite Strain"
10127158548,"CBD Content","Favorite Strain","Cost/Price"
10125692008,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10567408422,"THC Content","Cost/Price","Quality"
10280889006,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10263513014,"THC Content","CBD Content","Other cannabinoids and terpenes"
10255028590,"Quality","Other cannabinoids and terpenes","THCa"
10253635749,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10235412173,"THC Content","Quality","Cost/Price"
10234287047,"THC Content","Other cannabinoids and terpenes","Quality"
10230820147,"THC Content","CBD Content","Quality"
10230235893,"CBDa","THCa","Other cannabinoids and terpenes"
10229839162,"CBD Content","THC Content","Favorite Strain"
10229570428,"THC Content","Quality","Cost/Price"
10229561329,"CBD Content","Cost/Price","Format (flower, vape, edibles, etc)"
10229507895,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10229310948,"THC Content","CBD Content","Cost/Price"
10229304627,"Cost/Price","THC Content","THCa"
10229298270,"Quality","Favorite Strain","THC Content"
10192604228,"THC Content","CBD Content","Cost/Price"
10192498772,"CBD Content","THC Content","Quality"
10178566386,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10176321017,"Cost/Price","THC Content","Quality"
10171522285,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10168553663,"Quality","Cost/Price","THC Content"
10166497491,"Quality","Favorite Strain","Cost/Price"
10166086781,"THC Content","Cost/Price","Quality"
10141275570,"Favorite Strain","Quality","THC Content"
10138241574,"Quality","THC Content","Cost/Price"
10137894296,"Quality","Cost/Price","THC Content"
10131582698,"Quality","THC Content","Other cannabinoids and terpenes"
10129511356,"CBD Content","THC Content","Cost/Price"
10127580348,"THC Content","Cost/Price","Quality"
10127456257,"THC Content","THCa","Favorite Strain"
10114267357,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10618093668,"THC Content","Quality","Cost/Price"
10351985976,"Quality","THC Content","Cost/Price"
10307731360,"Quality","Cost/Price","Favorite Strain"
10232322099,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10231949944,"THC Content","CBD Content","Cost/Price"
10230596390,"Quality","THC Content","CBD Content"
10230225971,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10230198078,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10229779148,"THC Content","CBD Content","Other cannabinoids and terpenes"
10229765765,"THC Content","CBD Content","Cost/Price"
10229649053,"CBD Content","THC Content","Quality"
10229605070,"THC Content","CBD Content","Quality"
10229554391,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10229538834,"THC Content","CBD Content","Other cannabinoids and terpenes"
10229397458,"Favorite Strain","Other cannabinoids and terpenes","THC Content"
10176705221,"CBD Content","THC Content","Quality"
10168169939,"Quality","THC Content","Cost/Price"
10154976508,"Quality","Cost/Price","Other cannabinoids and terpenes"
10148289731,"Quality","THC Content","CBD Content"
10142691158,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10137889771,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10137849877,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
10134959359,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10131680927,"THC Content","Other cannabinoids and terpenes","Quality"
10131247244,"THC Content","Quality","Favorite Strain"
10127477117,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10127256002,"Quality","THC Content","Cost/Price"
10123570987,"THC Content","CBD Content","Other cannabinoids and terpenes"
10626640573,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10615762014,"THC Content","CBD Content","Favorite Strain"
10232428512,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10231842260,"THC Content","Quality","Favorite Strain"
10230506284,"THC Content","CBD Content","Other cannabinoids and terpenes"
10230353468,"CBD Content","THC Content","Other cannabinoids and terpenes"
10164134618,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10145906026,"THC Content","Quality","Cost/Price"
10144348609,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Cost/Price"
10143691454,"Quality","THC Content","CBD Content"
10142680604,"Quality","Format (flower, vape, edibles, etc)","CBD Content"
10138932667,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10131187127,"THCa","Format (flower, vape, edibles, etc)","Favorite Strain"
10113144108,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10442910474,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10416058133,"Cost/Price","CBD Content","THC Content"
10349445006,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10264278489,"THC Content","Cost/Price","Quality"
10248394143,"CBD Content","THC Content","Other cannabinoids and terpenes"
10235746652,"CBD Content","Favorite Strain","Quality"
10233663249,"Other cannabinoids and terpenes","THC Content","Quality"
10233431423,"THC Content","CBD Content","Cost/Price"
10230729526,"CBD Content","Quality","Cost/Price"
10230383445,"THC Content","CBD Content","Favorite Strain"
10230236662,"CBD Content","THC Content","Cost/Price"
