"response","count","percent_responded"
"No preference",1,0.12
"none",1,0.12
"None ",1,0.12
"Northern lights",1,0.12
"Not sure",1,0.12
"Not sure of strain",1,0.12
"Not sure what’s in my tincture ",1,0.12
"Not sure.",1,0.12
"O R Kush",1,0.12
"O.G.Kush",1,0.12
"oc",1,0.12
"OG ",1,0.12
"OG 99",1,0.12
"og kush",1,0.12
"OG Kush ",1,0.12
"Oh kush",1,0.12
"Oil",1,0.12
"Pangea",1,0.12
"Peach puree",1,0.12
"Peach Puree",1,0.12
"Peak",1,0.12
"Pennywise",1,0.12
"Phantom cookies",1,0.12
"Pineapple Chunk",1,0.12
"Pineapple express",1,0.12
"Pineapple Sage",1,0.12
"Platinum Girscout ",1,0.12
"Platinum Wreck",1,0.12
"Pot of Gold",1,0.12
"Princess",1,0.12
"Pure Indica",1,0.12
"purple chem",1,0.12
"Purple Chem",1,0.12
"purple dawg",1,0.12
"Purple haze",1,0.12
"Purple haze ",1,0.12
"purple kush",1,0.12
"Purple Kush",1,0.12
"Purple og",1,0.12
"Purple Trainwreck",1,0.12
"queen",1,0.12
"rasberry kush",1,0.12
"Raspberry Cough",1,0.12
"redline",1,0.12
"Road kill skunk ",1,0.12
"Roadkill Skunk x Chem",1,0.12
"Rugburn OG",1,0.12
"Same ",1,0.12
"sapphire",1,0.12
"Sapphire kush ",1,0.12
"sativa dominant hybrid",1,0.12
"Sativas",1,0.12
"Scooby snacks",1,0.12
"Scotts o.g.",1,0.12
"Searching",1,0.12
"See above",1,0.12
"Sirius Black",1,0.12
"Skunk",1,0.12
"Skunk og kush",1,0.12
"Skywalker",1,0.12
"Skywalker OG",1,0.12
"Skywalker og ",1,0.12
"Smoke",1,0.12
"Snazzleberry #3",1,0.12
"Sour",1,0.12
"Sour  Diesel",1,0.12
"Sour Bannana Sherbert",1,0.12
"sour diesel",1,0.12
"Sour disel",1,0.12
"Sour purple desle",1,0.12
"Sour Sunset",1,0.12
"Sour tsu x cat kush",1,0.12
"Sour tsunami cataract kush",1,0.12
"Space queen",1,0.12
"Spur diesel",1,0.12
"Star cookie",1,0.12
"Star Cookie #11",1,0.12
"Star dawg",1,0.12
"Star Killer",1,0.12
"Stardawg",1,0.12
"Starkiller",1,0.12
"Stavia",1,0.12
"Strawberry Cough",1,0.12
"Strawberry cush",1,0.12
"Strawberry Diseal ",1,0.12
"Strawberry fields",1,0.12
"Strawberry haze",1,0.12
"Strawberry Kush",1,0.12
"Strawberry pebbles",1,0.12
"Strawberry Pebbles ",1,0.12
"Sugar Black Rose",1,0.12
"Sunburn",1,0.12
"Sunset Sherbert",1,0.12
"Sunset sherbet",1,0.12
"sunshine daydream",1,0.12
"super lemon haze",1,0.12
"Super Lemon Haze ",1,0.12
"Super Silver Haze",1,0.12
"Super Skunk",1,0.12
"Swamp thing",1,0.12
"Swamp Thing",1,0.12
"Sweat Tooth",1,0.12
"Sweet skunk",1,0.12
"Sweet Skunk Jack",1,0.12
"sweet tooth",1,0.12
"sweet tooth ",1,0.12
"SweetTooth",1,0.12
"Tangerine ",1,0.12
"Tangi",1,0.12
"Tangie ",1,0.12
"tangie 2.1 CBD ",1,0.12
"Tangie 2:1",1,0.12
"Tangie by Rhythm ",1,0.12
"They are all nasty",1,0.12
"Train wreck /// pain relief",1,0.12
"Tres sister",1,0.12
"Tri wifi",1,0.12
"unk",1,0.12
"Unknown n/a",1,0.12
"unsure",1,0.12
"using tinctures",1,0.12
"Very small amount of TCH",1,0.12
"Viper",1,0.12
"Vyb Boost",1,0.12
"VYB Boost",1,0.12
"VYB Float",1,0.12
"Walker Kush",1,0.12
"Watermelon fruit drops",1,0.12
"wedding cake",1,0.12
"Wedding Cake ",1,0.12
"whatever I can get",1,0.12
"White Lotus",1,0.12
"White lotus x jack",1,0.12
"White rhino",1,0.12
"White walker",1,0.12
"white widow",1,0.12
"WhiteRhino x Bubba",1,0.12
"Wonder Woman",1,0.12
"X 18",1,0.12
"XJ 13",1,0.12
"xj13",1,0.12
"XJ13",1,0.12
