"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10137849877,"","","","6-25 mg","","","","","","",""
10137100957,"","","","5 mg or less","","","","","","",""
10136960446,"","","","51 - 100 mg","","","","","","",""
10136882264,"","","","6-25 mg","","","","","","",""
10136878865,"","","","","","","","","","",""
10136679921,"","","","","","","","","","",""
10136017627,"","","","","","","","","","",""
10135356461,"","","","201 - 500 mg","","","","","","",""
10135253638,"","","","","","","","","","",""
10135185924,"","","","6-25 mg","","","","","","",""
10135114465,"","","","51 - 100 mg","","","","","","",""
10134959359,"","","","6-25 mg","","","","","","",""
10134930830,"","","","","","","","","","",""
10134812473,"","","","6-25 mg","","","","","","5 mg or less",""
10134684832,"","","","","","","","","","",""
10134673876,"","","","","","","","","","501 - 1000 mg",""
10134672044,"","","","5 mg or less","","","","","","",""
10134660232,"","","","5 mg or less","","","","","","",""
10134431722,"","","","","","","","","","",""
10134424429,"","","","501 - 1000 mg","","","","","","",""
10133805034,"","","","101 - 200 mg","","","","","","",""
10133779899,"","","","5 mg or less","","","","","","",""
10133620417,"","","","","","","","","","201 - 500 mg",""
10133562078,"","","","","","","","","5 mg or less","",""
10133552929,"","","","6-25 mg","","","","","","",""
10133477675,"","","","1001 or more mg","","","","","","201 - 500 mg",""
10133313827,"","","","5 mg or less","","","","","","",""
10133294854,"","","","","","","","","","",""
10133282449,"","","","201 - 500 mg","","","","26 - 50 mg","","",""
10133161650,"","","","6-25 mg","","","","","","",""
10132944471,"","","","","","","","","","",""
10132818474,"","","","","","","","","","",""
10132700663,"","","","6-25 mg","","","","","","",""
10132235608,"","","","5 mg or less","","","","","","",""
