"response","count","percent_responded"
"lemon meringue ",1,0.08
"Lemon og",1,0.08
"Lemon skunk",1,0.08
"Lemon skunk ",1,0.08
"lemon skunk (DNA)",1,0.08
"Lemon Squeeze",1,0.08
"lemon walker",1,0.08
"light saber",1,0.08
"Light Saber",1,0.08
"Linguist",1,0.08
"Loopy Fruit",1,0.08
"LSD",1,0.08
"Madgirl",1,0.08
"maes Cannatonic",1,0.08
"Magic Beans ( beta carophyleene) ?",1,0.08
"Mandarin Dreams",1,0.08
"Mandarin Jack",1,0.08
"Manderian Dreams",1,0.08
"Mango ",1,0.08
"mango crush",1,0.08
"Maple Trainwreck",1,0.08
"Master Kush x Skunk",1,0.08
"Maui Wowie",1,0.08
"Mayflower ",1,0.08
"Me.Clean",1,0.08
"Medical Mass CBD",1,0.08
"Medicine man",1,0.08
"Melodious funk&jack",1,0.08
"Mendo Breath",1,0.08
"Midnight",1,0.08
"MK Ultra",1,0.08
"MOB",1,0.08
"Mob ",1,0.08
"Monkey Blood",1,0.08
"Moonshine haze",1,0.08
"Moonshine Haze",1,0.08
"Mother of Berries",1,0.08
"Mr clean",1,0.08
"Mr. Clean ",1,0.08
"Nepali",1,0.08
"Nepali temple",1,0.08
"Night nurse ",1,0.08
"Night Terror",1,0.08
"no fav",1,0.08
"No favorite",1,0.08
"No favorite ",1,0.08
"No favorites yet -",1,0.08
"no idea - I don't have enough knowledge to choose",1,0.08
"No idea.",1,0.08
"No preference",1,0.08
"None ",1,0.08
"None In Particular, Prefer Hybirds or Indica's",1,0.08
"Not sure ",1,0.08
"Not sure - mostly use gummies and tinctures",1,0.08
"Not sure of strain",1,0.08
"Not sure what’s in my tincture ",1,0.08
"Not sure yet",1,0.08
"Not sure.",1,0.08
"NY Diesel",1,0.08
"Obama Kush (high pain)",1,0.08
"Og",1,0.08
"OG Cush ",1,0.08
"Og kush cbd",1,0.08
"OGKB",1,0.08
"OGKUSH",1,0.08
"Oh chuck",1,0.08
"Ol'Mendo Hashplant",1,0.08
"OMG",1,0.08
"one to one",1,0.08
"Orange Bud",1,0.08
"Orange Harambe",1,0.08
"orange tangie",1,0.08
"panama red ",1,0.08
"Peach Purée",1,0.08
"peach puree",1,0.08
"Peach puree",1,0.08
"peak",1,0.08
"Pelham kush",1,0.08
"pennywise",1,0.08
"Pennywise",1,0.08
"Pennywise ",1,0.08
"perla",1,0.08
"Phoenix Pearls",1,0.08
"Pineapple Dew High CBD",1,0.08
"Pineapple express",1,0.08
"pineapple express ",1,0.08
"Pineapple Express ",1,0.08
"Pink Champagne",1,0.08
"Pink Kush",1,0.08
"Pink Lemonade",1,0.08
"Platinum",1,0.08
"Platinum bubba kush ",1,0.08
"Platinum Kush",1,0.08
"Poets Walk",1,0.08
"pomegranate blueberry (indica cartridge from Neta) ",1,0.08
"Pot of Gold",1,0.08
"Pure CBD",1,0.08
"pure cbd isolate crystals",1,0.08
"Pure CBD Oil with Hemp Seed Oil",1,0.08
"pure kush",1,0.08
"Pure Sativa",1,0.08
"Purple dawg",1,0.08
"Purple Gorilla",1,0.08
"Purple Haze",1,0.08
"Purple haze ",1,0.08
"Purple Lamborghini",1,0.08
"Purple Lamborghini ",1,0.08
"Purple mayhem",1,0.08
"Purple Orange",1,0.08
"Purple urkle",1,0.08
"Purple urple",1,0.08
"Rainmaker",1,0.08
"Rare Dream",1,0.08
"Red Congolese",1,0.08
"Red headed stranger",1,0.08
"Redline",1,0.08
"Redline ",1,0.08
"Rick Simpson Oil",1,0.08
"Ringo's gift",1,0.08
"Roadkill skunk",1,0.08
"SAH",1,0.08
"SATIVA",1,0.08
"Sativa ",1,0.08
"sativa strains",1,0.08
"Schnazzleberry",1,0.08
"Scooby Snacks",1,0.08
"Scott’s OG",1,0.08
"Serene",1,0.08
"Serious Happiness",1,0.08
"Setivas",1,0.08
"shark shock",1,0.08
"Shark shock",1,0.08
"Shark Shock",1,0.08
"Shark Shock and ALL HIGH CBD STRAINS ",1,0.08
"Silver haze",1,0.08
"Silver Haze",1,0.08
"Sin Mint",1,0.08
"skunk",1,0.08
"Skywalker",1,0.08
"Skywalker OG ",1,0.08
"Snoop dog",1,0.08
"Snow Dog",1,0.08
"Snow Lotus",1,0.08
"Snowland",1,0.08
"soulmate",1,0.08
"Sour Candy",1,0.08
"sour D",1,0.08
"Sour d ",1,0.08
"Sour deisle",1,0.08
"sour diesal",1,0.08
"Sour Diesel ",1,0.08
"Sour diesle",1,0.08
"Sour disesl",1,0.08
"Sour Grape",1,0.08
"Sour Jack",1,0.08
"sour kush",1,0.08
"sour tangie",1,0.08
"Sour Tangy",1,0.08
"sour tsu",1,0.08
"Sour Tsunami",1,0.08
"Sour Tsunami ",1,0.08
"Southern D",1,0.08
"Space Queen",1,0.08
"Star cookie",1,0.08
"star dawg",1,0.08
"Star dawg",1,0.08
"star dawg day time ",1,0.08
"Star Kush",1,0.08
"Star pupil",1,0.08
"Stardawg",1,0.08
"StarDawg",1,0.08
"Stardawg ",1,0.08
"Starwood",1,0.08
"stativa",1,0.08
"stavia",1,0.08
"Stavia",1,0.08
"Still",1,0.08
"Still experimenting ",1,0.08
"strawberry",1,0.08
"Strawberry Cheesecake",1,0.08
"Strawberry cough/// mood enhancer",1,0.08
"Strawberry Diesel",1,0.08
"Strawberry Haze",1,0.08
"Sundae Driver",1,0.08
"Sunset sherbert",1,0.08
"Sunset Sherbert",1,0.08
"Sunset sherbert ",1,0.08
