"response","count","percent_responded"
"Mr clean",1,0.09
"Mr Clean",1,0.09
"mr. clean",1,0.09
"Mr. Clean",1,0.09
"My Own",1,0.09
"narnia",1,0.09
"Nigeria",1,0.09
"Night Train",1,0.09
"Nite Nurse",1,0.09
"NITE NURSE",1,0.09
"Nl1",1,0.09
"No",1,0.09
"No favorite ",1,0.09
"No idea",1,0.09
"No luderalis",1,0.09
"No preference",1,0.09
"None ",1,0.09
"Northern Durban",1,0.09
"Northern Lights ",1,0.09
"Northern Lights # 5",1,0.09
"Northern lights haze",1,0.09
"Northern Lights Nl Indica",1,0.09
"not much difference",1,0.09
"Not Sure",1,0.09
"Not sure ",1,0.09
"Not sure of strain",1,0.09
"Not sure what’s in my tincture ",1,0.09
"Not sure.",1,0.09
"NY Diesel",1,0.09
"NYC Diesel",1,0.09
"NYC sour diesel",1,0.09
"O G Kush",1,0.09
"Obama kush",1,0.09
"og",1,0.09
"OG 99",1,0.09
"OG CUSH",1,0.09
"OG kush ",1,0.09
"OG Kush ",1,0.09
"Orange Krush",1,0.09
"Original Amnesia ",1,0.09
"Other Sativa heavy hybrids",1,0.09
"Others",1,0.09
"Outerspace",1,0.09
"Pakistan Chitral Kush",1,0.09
"PANAMA RED",1,0.09
"Pbk",1,0.09
"Peach bliss",1,0.09
"Peach purée ",1,0.09
"Peach Purée ",1,0.09
"Peach Puree",1,0.09
"pen",1,0.09
"Penny wise ",1,0.09
"Phantom cookies",1,0.09
"Pine",1,0.09
"pineapple chunk",1,0.09
"Pineapple Dream",1,0.09
"Pink Panther ",1,0.09
"pink panties",1,0.09
"Platinum Bubba",1,0.09
"Platinum Cookies",1,0.09
"Platinum Huckaberry Cookies",1,0.09
"Platinum OG",1,0.09
"Poet's Walk ",1,0.09
"Poets walk",1,0.09
"Profiles, strain names are not a good indicator of anything I’ve found. ",1,0.09
"Pucker",1,0.09
"Pure CBD Oil with Hemp Seed Oil",1,0.09
"Pure sativa vape",1,0.09
"Purple",1,0.09
"Purple glue",1,0.09
"Purple haze",1,0.09
"Purple Haze",1,0.09
"Purple haze ",1,0.09
"Purple Haze ",1,0.09
"Purple Jack",1,0.09
"Purple kush ",1,0.09
"Purple Lamborghini",1,0.09
"Purple Lamborghini ",1,0.09
"purple lamborgini",1,0.09
"Purple orange cbd",1,0.09
"Purple Trainwreck",1,0.09
"purple urkel",1,0.09
"Purple Urkle ",1,0.09
"Purps ",1,0.09
"Resinous Maximus",1,0.09
"Rosetta ",1,0.09
"ROYAL-BLUEMATIC",1,0.09
"Royal Gorilla ",1,0.09
"Sacaria",1,0.09
"Salves",1,0.09
"same",1,0.09
"SATIVA ",1,0.09
"Sativa indica hybrids ",1,0.09
"sativa/indica 50/50 hybrid",1,0.09
"Scott's OG",1,0.09
"Scott’s og",1,0.09
"Scout Cookies",1,0.09
"See above ",1,0.09
"sensi star",1,0.09
"Shark Shock",1,0.09
"Shark tooth ",1,0.09
"Sherbert",1,0.09
"Sherbet cookies",1,0.09
"Shiva  skunk",1,0.09
"Silver Haze",1,0.09
"Skunk ",1,0.09
"Sky walker",1,0.09
"skywalker kush",1,0.09
"Skywalker Kush",1,0.09
"Slk x skunk",1,0.09
"SLK/Jack",1,0.09
"snowdrop",1,0.09
"Snowflake",1,0.09
"something goat or goat something- I forgot name",1,0.09
"Something with a strong body high",1,0.09
"Soothe",1,0.09
"Sour D",1,0.09
"Sour desiel",1,0.09
"Sour diesel",1,0.09
"sour diseil",1,0.09
"Sour Kosher",1,0.09
"Sour Sunset",1,0.09
"Sour Tangie",1,0.09
"Sour tsunami",1,0.09
"Sour Tsunami ",1,0.09
"Special Sauce",1,0.09
"Star cookie",1,0.09
"Star Cookies",1,0.09
"Star dawg ",1,0.09
"Stativa",1,0.09
"stavia",1,0.09
"Stawdowg",1,0.09
"Strawberry cheesecake",1,0.09
"Strawberry Fields",1,0.09
"Strawberry fields ",1,0.09
"Strawberry Kush",1,0.09
"Strawberry pebbles",1,0.09
"strawberry pebbles ",1,0.09
"Strawnana",1,0.09
"stuff",1,0.09
"Sundae driver",1,0.09
"sunset sherbert",1,0.09
"Sunshine daydream",1,0.09
"Sunshine Daydream",1,0.09
"Super lemon haze ",1,0.09
"Super Silver haze",1,0.09
"Super Skunk",1,0.09
"Super Sour Skunk",1,0.09
"Swap Thing",1,0.09
"Sweet Skunk x Jack Heurer",1,0.09
"Taffie",1,0.09
"Tahoe OG Kush",1,0.09
"Tangerine",1,0.09
"tangerine haze",1,0.09
"TANGERINE HAZE",1,0.09
"tangie",1,0.09
"Tangie Kush",1,0.09
"Tardis",1,0.09
"TBD",1,0.09
"Thc shatter",1,0.09
"THCa unknown strain",1,0.09
"The evelyne",1,0.09
"The guice",1,0.09
"The Guice",1,0.09
"Them",1,0.09
"these names are so stupid, please, please, PLEASE change the naming of your strains, cannabis industry",1,0.09
"They are all nasty",1,0.09
"tie stick",1,0.09
"Train wreck",1,0.09
"Tres sisters",1,0.09
"Triangle kush",1,0.09
"Triangle Kush",1,0.09
"Triangle mints ",1,0.09
"tweed strangelove ",1,0.09
"unk",1,0.09
"unknown",1,0.09
"Unknown",1,0.09
"Unknown ",1,0.09
"unknown high cbd/thcv strain I grew",1,0.09
"Unknown n/-",1,0.09
"unkown",1,0.09
"unsure",1,0.09
"Unsure",1,0.09
"using tinctures",1,0.09
"vana white",1,0.09
"Vapor",1,0.09
"VYB Peak",1,0.09
"Vyper",1,0.09
"Walker kush",1,0.09
"Wappa",1,0.09
"Warlock ",1,0.09
"Wedding cake",1,0.09
"Wedding Crasher",1,0.09
"Weed whacked",1,0.09
"whatever I can get",1,0.09
"White 99",1,0.09
"White Lotus",1,0.09
"white rhino",1,0.09
"White Rhino x Bubba",1,0.09
"White Rino",1,0.09
"White Strwberry Diesel",1,0.09
"White widow. ",1,0.09
"whiterhino x bubba",1,0.09
"Wife",1,0.09
"x",1,0.09
"Your mama",1,0.09
