"q48","What are your general thoughts regarding the legalization of cannabis?","n =  637"
"It saved my life. I dislike the stoner box I am put in from society but that's a small price to pay for a miracle medication. ","1","0.16"
"It should've been done years ago especially for people who used to get in legal trouble for possessing small amounts.","1","0.16"
"It should absolutely be 100% legal and our law makers need to educate themselves first then educate the public on the misinformation they have been receiving about cannabis for over a hundred years.","1","0.16"
"It should absolutely be legal.","1","0.16"
"It should absolutely be legalized.","1","0.16"
"It should be able to be used normally ","1","0.16"
"it should be completely federally legal.","1","0.16"
"It should be decriminalized and legal for recreational use just like alcohol is. Over 21 with valid id which can be used in any state at any dispensary.","1","0.16"
"It should be decriminalized so we can do more research in the United States. The most important is that vets should have total access to cannabis through the VA. Transplant patient should not be kicked off of the transplant list for using cannabis. ","1","0.16"
"It should be federally legal and alcohol should be outlawed. I'd rather have people driving stoned than drunk.","1","0.16"
"It should be federally legal with States voting on recreation. ","1","0.16"
"It should be Federally legal!","1","0.16"
"It should be fully legal for all use to the public. All growing methods other than organic, veganic and biodynamic should be prohibited by law, and this includes the flowers that go into making edibles and other forms of delivery. Cannabis should still undergo rigorous testing for mold and other possible pathogens.","1","0.16"
"It should be fully legal nation-wide.","1","0.16"
"It should be fully legalized for medical and recreational use with an 18 or 21 year old age requirement unless for medical purposes.. then anyone, any age should have access to it","1","0.16"
"it should be legal","1","0.16"
"It should be legal ","1","0.16"
"it should be legal & free","1","0.16"
"It should be legal across the country. ","1","0.16"
"It should be legal everywhere, it's the safest drug, period. ","1","0.16"
"It should be legal everywhere. It's not a drug the way the gov classifies it as. ","1","0.16"
"It should be legal federally.","1","0.16"
"It should be legal federally. ","1","0.16"
"It should be legal for adults to purchase and consume both for medical and recreational purposes.","1","0.16"
"It should be legal for anyone over 21","1","0.16"
"It should be legal for everyone ","1","0.16"
"It should be legal for recreational use and covered by insurance for those with qualifying conditions ","1","0.16"
"It should be legal in all 50 states.","1","0.16"
"It should be legal in every state. ","1","0.16"
"It should be legal nationwide, cannabis is way safer than booze or tobacco","1","0.16"
"It should be legal on a federal basis.","1","0.16"
"It should be legal on a federal level! ","1","0.16"
"It should be legal on a federal level. ","1","0.16"
"It should be legal so it can be regulated and people can know what they are consuming.","1","0.16"
"It should be legal to all","1","0.16"
"It should be legal to help consumers determine quality, efficacy, best price, and help reduce stigma ","1","0.16"
"It should be legal.","1","0.16"
"It should be legal.  It has health benefits.  We need more research.  It’s safer than alcohol.","1","0.16"
"It should be legal. It's ridiculous that a plant is illegal. ","1","0.16"
"It should be legalized ","1","0.16"
"It should be legalized all states","1","0.16"
"It should be legalized but not made available to minors","1","0.16"
"It should be legalized everywhere. ","1","0.16"
"It should be legalized for all purposes, medical, recreational etc. if it legal to grow, buy and sell parsley, cilantro and roses, so should cannabis.","1","0.16"
"It should be legalized in all states.  It helps for everything. There is a strain for everything. ","1","0.16"
"It should be legalized nationally","1","0.16"
"It should be legalized without need of a medical card; especially considering that many who use 'recreationally' are using it medicinally without realizing it.  Based on studies of its safety, cannabis is a rather silly thing to prohibit.","1","0.16"
"It should be legalized! Give us our plant back!","1","0.16"
"It should be legalized.","1","0.16"
"It should be legalized. ","1","0.16"
"It should be legalized.  Adults should have the preference to smoke just as the have the preference to drink alcohol or not","1","0.16"
"It should be legalized.  It is way less harmful than alcohol!","1","0.16"
"It should be legalized. I can go to war or buy liquor which causes more harm than cannabis but I can't legally buy cannabis without a medical card...strange ","1","0.16"
"It should be legalized. I think that those who smoke now aren’t going to stop and those that don’t like it don’t need to start. It won’t change who smokes and who doesn’t its a personal choice. ","1","0.16"
"It should be medical only! There needs to be more research.","1","0.16"
"It should be medically legal for everyone as a supplement - but, the government should NOT be involved. I believe we should be able to grow it in our back yards if we so choose and fear only rabbits raiding our yards, not our government.  I do have concerns about legalizing recreationally across the board as college age will abuse and not treat responsibly - and, mix with alcohol and other opiates etc - which of course if cannabis is in their system, cannabis is the terrible problem child according to ""authorities"" ","1","0.16"
"It should be totally legal.","1","0.16"
"It should have been done in 1937.","1","0.16"
"It should have been legal years ago","1","0.16"
"It should have been legalized for 1000 years.","1","0.16"
"It should never have been illegal","1","0.16"
"It should never have been illegal...","1","0.16"
"It should not be illegal","1","0.16"
"It should of been done years ago","1","0.16"
"it should’ve happened when prohibition ended... lots of taxable money for the USA. hurry up and make it 100% legal to of age customers ","1","0.16"
"It slightly worries me that the patients will become less of a priority AND legalization is important to kill the stigma built up around cannabis. So mixed feelings. ","1","0.16"
"It will be life changing for the better","1","0.16"
"It will help the world","1","0.16"
"It’s a plant. Regulated it like tomatoe plants. ","1","0.16"
"It’s About Time!!","1","0.16"
"It’s about time. ","1","0.16"
"It’s about time. The stigma screwed up my life. I’m glad that I am not alone.","1","0.16"
"It’s beautiful","1","0.16"
"It’s long overdue. ","1","0.16"
"It’s past due. Safer than alcohol. ","1","0.16"
"it’s taking too long","1","0.16"
"It’s the same as alcohol. I don’t like to drink so MJ is a great medicine for me. It makes me sad that people think you’re a drug addict if you use MJ. The gov’t needs to legalize it! ","1","0.16"
"It’s time.","1","0.16"
"Its about time!","1","0.16"
"Its about time.","1","0.16"
"Its been a real shit show. It doesn't feel legal so much as regulated to death. Too many regulations regarding how lawmakers are going to make money off of all of this. Not enough regulations protecting consumers.","1","0.16"
"Its good","1","0.16"
"Its great. Just wish shops were open.","1","0.16"
"Its great. We need to not involve it in drug testing for jobs. Just put a rule saying you can't smoke on job property","1","0.16"
"Its long past due","1","0.16"
"its over due , people are dying hurry up","1","0.16"
"Its safer than alcohol and tobacco ","1","0.16"
"its safer than alcohol. it should be legalized and regulated nationwide.","1","0.16"
"Just do it","1","0.16"
"Just do it already","1","0.16"
"Legalization is only needed for research/ education, access, and stigma removal. The latter being the most important issue we all face.","1","0.16"
"Legalization should be across the board.","1","0.16"
"Legalization should ensure that patients aren't used as targets of law enforcement.  Patients tend to have a lot of cannabinoids in their system at any given time of day. ","1","0.16"
"Legalization should have been long ago. Marijuana is in a less harmful medical category than caffeine, nicotine. Many normal, good people who work hard, have good values, morals use these products quite safely. We should not be arrested for that.","1","0.16"
"Legalization with regulation and taxation is a proven system and can raise revenue without damaging effects to local economies.","1","0.16"
"Legalize ","1","0.16"
"LEGALIZE ALL DRUGS  SAFE SPACES FOR ACCESS  REGULATIONS FOR DRUGS    ALSO WHY THE HECK ARE THESE DISPENSARIES HIRING PEOPLE TO WORK AT MINIMUM WAGE?!?! THAT IN ITSELF SHOULD BE ILLEGAL, THESE PEOPLE ARE PROFITING BIG TIME ON A SYSTEM THAT WAS ONLY CRIMINALIZED TO IMPRISON BLACK PEOPLE. THE OWNERS OF THESE DISPENSARIES SHOULD HIRE PEOPLE OF COLOR, SHOULD ADVOCATE FOR PRISONS TO RELEASE INMATES WHO ARE IN PRISON FOR NONBVIOLENT CRIMES.    PAY YOUR EMPLOYEES A LIVING WAGE  GIVE MONEY TO THE COMMUNITY WHO YOU ARE PROFITING OFF OF     ","1","0.16"
"Legalize all drugs.","1","0.16"
"Legalize and regulate like alcohol or Pharmaceuticals","1","0.16"
"Legalize and take off schedule 1 drug list","1","0.16"
"Legalize and tax.","1","0.16"
"Legalize cannabis","1","0.16"
"Legalize cannabis and tax it at the same levels as tobacco or alcohol, but use the tax money to fund free public education and health care - especially research for underfunded but pervasive diseases","1","0.16"
"Legalize Cannabis in every State in United States of America","1","0.16"
"Legalize cannabis, criminalize alcohol","1","0.16"
"legalize it","1","0.16"
"Legalize it ","1","0.16"
"Legalize it along the lines of alcohol, tax free","1","0.16"
"Legalize it already ","1","0.16"
"LEGALIZE IT AND SAVE LIVES","1","0.16"
"Legalize it but regulate growing (protect from Monsanto/etc)","1","0.16"
"Legalize it federally ","1","0.16"
"Legalize it nationwide, reschedule/deschedule","1","0.16"
"Legalize it to help patients in need get access to the medicinal value it provides. Also price reduction to help all afford the medicine. ","1","0.16"
"Legalize it, yeah.","1","0.16"
"Legalize nationally.  I think alcohol is the dangerous drug.  The war on drugs should focus on the suppliers of Heroin,Fentanyl and oral narcotics.  Stop the insurge of killer drugs.  The opioid crisis is not due to Doctors.  Oxycodone has been around for a long time as Percocet and Percodan.  Oxyir and OxyContin came into play because Morphine had become so stigmatized.  Putting heroin addicts on methadone is asinine.  Medical Marajuana advocates need accolades.  I have never seen anyone overdose on marajuana.  My husband has always said they should pipe it into the prisons to calm down the inmates !","1","0.16"
"Legalize NOW","1","0.16"
"Let’s do it!","1","0.16"
"LETS DO IT! More customers/user means more resources, data, money, and will blaze the trail for widespread destigmatization and national legalization.","1","0.16"
"lets make it happen","1","0.16"
"Ljssjs","1","0.16"
"Long awaited, overly suppressed by the alcohol/opiate industry lobbies for too long.","1","0.16"
"Long over due ","1","0.16"
"long overdue","1","0.16"
"Long overdue","1","0.16"
"Long overdue ","1","0.16"
"Long overdue, and inevitable provided the Federal government does not interfere","1","0.16"
"Long overdue.  ","1","0.16"
"Long overdue. Still heavily over regulated. Why do I have to have my drivers license and Id scanned when I walk in the door of the dispensary instead of when I make a purchase? Why is the state considering a breathalyzer test when they know it doesn't prove anything?","1","0.16"
"Love","1","0.16"
"Love it its about time ","1","0.16"
"Love it!!!!","1","0.16"
"Love it...about time","1","0.16"
"Make it Federally legal so I can Vape in/near my home","1","0.16"
"Make it free for all to use. ","1","0.16"
"make it legal","1","0.16"
"Make it Legal","1","0.16"
"make it legal through the US","1","0.16"
"Make it pervasive and safe ","1","0.16"
"Making cannabis illegal in the first place was stupid and, in the United States, was never constitutional.","1","0.16"
"Many people are afraid of the stigma behind the card. The more people that have safe access, the better. ","1","0.16"
"More action towards creating spaces for cannabis users to consume","1","0.16"
"Must do","1","0.16"
"My only apprehension is that the pharma, tobacco, and alcohol companies will become extremely influential in legalized cannabis and turn it into something extremely caustic, addicting, and harmful. ","1","0.16"
"My quality of life is much better. ","1","0.16"
"Necessary, and should support Black-owned marijuana businesses","1","0.16"
"need nation wide legalization","1","0.16"
"Need to have more variety of products at ALL dispensaries","1","0.16"
"Needed","1","0.16"
"Needs to be Federally Legal","1","0.16"
"Needs to be legalized and made so people who hold special licenses (i.e. nursing, CDL) can benefit from it as well as anyone else else without worrying they will lose their job ","1","0.16"
"Needs to happen","1","0.16"
"Needs to happen federally so everyone can be consuming country wide and stress free! Also so we can expand on variety on the east coast like the west coast experiences. ","1","0.16"
"Needs to happen on a national scale!","1","0.16"
"Never should have been regulated in the first place. It is a political decision that had no criminal ties and should not be forbidden. The US government has no right to pick and choose what plants on this earth can be used by individuals. There are many more that cause ""the high"" but this one weed that made rope for our Navy seems to be of great interest to the government.  My eyes are wide open now and my government has let me and all citizens down by brainwashing us to think this weed is seriously bad and a human is bad for even thinking about it.   Seriously!!","1","0.16"
"No brainer! Just make it legal in all states but keep it regulated.","1","0.16"
"No more dangerous then alcohol always going to be someone who abuse'sthe right to smoke just like drinking to much","1","0.16"
"No question but the is a long time stigma that keeps arising that is misunderstood ","1","0.16"
"No thoughts.","1","0.16"
"Not at all happy with the roll out. I am in favor of forcing the ccc to review all host agreements and fixing illegal ones. I’m ok for it to be delayed even more to get it right. Medical must stay protected. Medical is crucial for our kids and seniors who don’t have access to care givers. Doesn’t feel legal when I can’t smoke in public and have to feel like a criminal all the time. ","1","0.16"
"not fast enough","1","0.16"
"Not for recreational marijuana","1","0.16"
"Not sure it’s really legal. There is a lot of conflicting events I have observed. The federal government claims that cannabis has no medicinal value yet there have been several patents issued for cannabis as medicine. Citizens are being denied the truth about this powerful medical and wellness plant. ","1","0.16"
"Not sure. I was always for it until it happens. I feel it may ruin a good thing due to shitty people that don’t give a shit and do as they want rather than obey the laws which in turn will make the whole cannabis society look bad when in general it’s only a handful of people. I think it’s fine the way it has been to be honest ","1","0.16"
"Nothing but a positive experience for me, hope the lawmakers stop dragging their feet tho.","1","0.16"
"On the fence. I see both sides of the coin. Medically-speaking, fear of Big Pharma ruining a good thing. Recreationally speaking, fear of a big company ruining the integrity of a quality product like Big Tabacco did.","1","0.16"
"Open Cannabis Consumer and Patient Survey 09/30/2018 Sunday 7:08pm    In 2014 we legalized consumption of cannabis in Oregon. We additionally tried to legalize a utopian bill in 2010 [I am pretty sure but it might have been 2012]. As a tree hugging Libertarian I fully endorse cannabis and hemp legalization on all levels.    Essentially I am a freedom fighter for those that believe that cannabis is a world/earth derived/plant based medicine/consumer product that should be provided by the farmers of the planet and should be legalized, not only nationally [the USof A] but by the world at large.    I apologize for acting like a US citizen [even though I am one], and the remarks that are created from that reality, but I also want you all to remember that these statements only come from being this free as a society that is this large.    Think about that, if you can.    Cannabis freedom will set the world on a new path.    Sincerely,  Nathaniel Grant Wygethrin [previously Nathaniel Wingate Grant]","1","0.16"
"Optimistic but implimentation seems to be taking longer than expected","1","0.16"
"Overdue with robust regulations. If we want to keep cannabis away from CHILDREN, not necessarily teens, why make candy with cannabis? If kids can eat laundry pods they would definitely eat misplaced, brightly colored, candy.","1","0.16"
"Overdue.","1","0.16"
"Perfect, as a user of 30+ years legalization of medical cannabis has aided me tremendously ","1","0.16"
"Please get it done!  ","1","0.16"
"Positive- it should be legal nationwide!","1","0.16"
"positive but I would like it to come with reparations from those arrested / jailed / fined for cannabis-related crimes so far, or at least discussion of the double-standards related to who is profiting from legalization","1","0.16"
"Positive. ","1","0.16"
"pro","1","0.16"
"Pro","1","0.16"
"Pro cannabis ","1","0.16"
"PRO LEGALIZATION  (This is where I erase my diatribe on systemic racism, stigma, smooth jazz at the doctor's office and more old, white men trying to tell me what to do. I will also forego another soap box rant on the features and benefits of this amazing plant.)","1","0.16"
"Pro! Amazing benefits and if remaining organic, non gmo etc it is a primary choice for me. ","1","0.16"
"Public needs better education ","1","0.16"
"Recreational legal cannabis is appropriate. Medical should remain a separate category, to allow regulations that increase access to cannabis products for disabled and low income people. Higher plant allowances for patients growing, continuous supply at dispensaries, paying no tax, discounts for those on Medicare, Medicaid, or other financial assistances are all appropriate. The certification and card system for medical should be free; subsidized by the taxes on recreational cannabis.","1","0.16"
"Research should be done.  Yes legalize.","1","0.16"
"Responsibley and Deep discounts for Disabled patients living off SSDI.   The opiods are covered by insurance and only cost the co-pay. Incredible struggle to try cannabinoids medications. ","1","0.16"
"right on brother","1","0.16"
"Should've never been illegal  Happy about the progress","1","0.16"
"Should be absolutely ","1","0.16"
"Should be fully legal and taxed for 21+ age","1","0.16"
"Should be lagal","1","0.16"
"should be legal  ","1","0.16"
"Should be legal / regulated *almost* like alcohol","1","0.16"
"should be legal for adults with all of the same regulations as alcohol and warnings as prescription drugs","1","0.16"
"Should be legalizd","1","0.16"
"Should be legalized","1","0.16"
"Should be legalized ","1","0.16"
"Should be legalized and taxed just like liquor","1","0.16"
"Should be legalized, controlled locally to avoid commercialization","1","0.16"
"Should be legalized, over 21. ","1","0.16"
"Should be made completely legal as long as there is regulations in place for safe, clean, organic cannabis.","1","0.16"
"Should be more accessible like alcohol. Too expensive for many low to no income individuals needing it medically. Should be covered by insurance","1","0.16"
"Should be period. Booze is much worse on ones body","1","0.16"
"Should happen ASAP","1","0.16"
"Should have been done decades ago","1","0.16"
"Should have been done years ago","1","0.16"
"should have been legalized a long time ago.  ","1","0.16"
"Should have never been made ILLEGAL in the 1st place!","1","0.16"
"Should never have been illegal. It's a plant","1","0.16"
"So happy. It should have never been prohibited. It is a very good medicine.","1","0.16"
"So/so about adult use starting ","1","0.16"
"Society should provide a morning and an evening dose to all who ask for it. Free of charge if they cannot afford it.","1","0.16"
"Sometimes I feel in the years ahead that the use of marijuana now will cause great health problems like the tobacco industry did. All though it helps now with many health problems my concern is not knowing the future problems it may bring and what’s being hidden from the public in order to bring high sales in. I also feel that ALL health insurances should cover the use of medical marijuana as a medication. especially if medical marijuana in that particular state is legal.","1","0.16"
"Speed this up, and cut this regulation so it can be studied in a more academic setting,. ","1","0.16"
"State is taking too long to process facilities for openings ","1","0.16"
"Strongly Support","1","0.16"
"Super important. Want to see more minority owned shops/partners. ","1","0.16"
"super pumped","1","0.16"
"Support full legalization at the federal level","1","0.16"
"Support it ","1","0.16"
"Surprised at how demonized cannabis remains.  The facts have been clear for decades yet politics and morality have inhibited the use of cannabis.  Fully support full legalization.","1","0.16"
"Thank God almighty, Free at last!  Free at last!!","1","0.16"
"Thank God. It always made me feel better, and now I can get consistant quality, and not have to go underground, and support drug dealers.","1","0.16"
"That it happens already","1","0.16"
"That its not legalization its just regulation. More ways for cops and state to make money on tickets, not enough restorative justice. And seed to sale is an innane invasion of freedom and privacy. I can make wine, beer, spirits, even certain regulated chemicals or drugs, and they don't need to count my hops or limit the number of grape vines I have or raw products I can order, to still tax and regulate my finished product or crop. Its rediculous. People whose business plans are based on pre prohibition prices are rediculous too. Communities that opt out of voted for state measures are outright saying they prefer the black market to the legal one. Liscences are prohibitively expensive to small growers and anyone who hasn't been illegally profiting from selling volume, leaving it mostly full of outside investors who don't understand the plant or community, permits approved by committees full of corupt politicians... I could go on all day.","1","0.16"
"That the unintentional barriers that were put up in the legislation, that prohibits business from being created. first being in regards to community outreach. Before a business can be created they must go to the town and say how they will provide some type of community outreach by doing a service or some number of profits to this nonprofit organization. The cost of opening a cannabis business in MA is about $40,000 minimum. The cost than rise astronomically based on location testing cost for the rec. Or if you a potential cultivator it is maybe 45k total. When a normal small business costs 30k. (AARP) You than would need to ask a bank for a loan but none would give you the loans since they are still have to follow federal law. But than the town itself can charge a tax because you are growing, in addition to the state tax when you sell to a dispensary. So if all those criteria are met you than can maybe open up and you than need to get the towns approval by supporting a non-profit they like. It's not worth it to open up a business. So community outreach needs to be removed. This then is that even the labs that test for rec have to do this as well. ","1","0.16"
"The devil is in the details of implementation of legalization.","1","0.16"
"The fact that it is not legal for consumption is insulting to every law-abiding adult who wants to use this plant. It is becoming ever-increasingly known that hypocrisy, misinformation, and prejudice were the driving factors behind the illegality surrounding this simple, ancient plant. If we expect to give any credence to the idea that we are enlightened and learned, then we must allow full legalization to happen. The current state of cannabis laws in this country (i.e. the fact that it is still referred to a marijuana, a word chosen to feed racist viewpoints, in law books) are appalling and shameful. Additionally, that the CCC is refusing to allow the adult-use market to open is unacceptable. On top of it, they show clear bias to known companies who have questionable relationships to the Department of Public Health and other regulatory entities. The people of Massachusetts deserve better.","1","0.16"
"The growth in the industry is incredible and the benefits of cannabis seem endless. The revenue generated with the sale of cannabis can help the government and local schools, police and fire services and open more opiate rehabs. ","1","0.16"
"The tax is ridiculous ","1","0.16"
"There government knew there is more money in keeping people sick. Now that people are learning that the government has been lying to us all these years about cannabis and it’s  phenomenal medicinal value . Well, it pisses me off at the government. ","1","0.16"
"There is no point in the illegality of something that one can grow anywhere. Cannabis should be legal by federal law, with state control of production and distribution. ","1","0.16"
"There is nothing wrong with it","1","0.16"
"They are wasting time not doing it..","1","0.16"
"They need to legalize totally. Make it simple, you have to be 21 in order to grow, buy, manufacture,any cannabis. Simple. Treat like alcohol. They need to subsidize the cost for the medical patients who can't afford. Just like ""legit"" drugs.","1","0.16"
"They should increase the amount of cannabis that a person should be able to grow legally so that you can reduce the price one spends at a dispensary ","1","0.16"
"They should make it legal at federal levels","1","0.16"
"Think is about damn time. ","1","0.16"
"Think it should be 100% legal. With access to both medical and recreational ","1","0.16"
"Think its great. ","1","0.16"
"This is still a controversial issue. I am for the legalization of cannabis. This plant has helped me to heal.","1","0.16"
"This Medicine has single handily changed my well-being. I’ve been able to come off of much more dangerous prescription medication opiates. Cannibis works better for all my symptoms and I have more energy and motivation. This should absolutely be legalized! I was skeptical and worried about stigma, but it is the best decision I have made to care for my medical disorder. I honestly would not have the progress I have made without it and other people should be allowed the chance to benefit from it as well. Complete game changer.","1","0.16"
"Too little, too late.  Cannabis prohibition should never have happened.  The damage to the public health has been incalculable.  Removing these vital nutrients from the public diet has led to increased incidence of cancer, diabetes, obesity, neurological and emotional problems, etc., as well as the abuse of cannabis by a misinformed populace.  Legalization will reverse one of the greatest crimes against humanity ever perpetrated (as further testing/studies will prove).","1","0.16"
"Too slow. ","1","0.16"
"Until concentrates are introduced (Canada) I will not be participating in the legal market. I rely on concentrates to treat my PTSD and cannot smoke flower due to asthma. Vaping concentrates is much easier on my lungs and the effects on my mood are instantaneous, with flower I would need to smoke more than one hit to feel anywhere near the same as a single 0.05g~ dab of a concentrate.","1","0.16"
"Used correctly it is a medicine just like any other","1","0.16"
"Very excited.  The benefits outweigh the risks and it is no worse than alcohol when used recreationally","1","0.16"
"Very good ","1","0.16"
"Very happy","1","0.16"
"Very happy about it.","1","0.16"
"very happy!","1","0.16"
"Very happy, just hoping for prices to drop down to make it more affordable we need more dispensary’s to open up","1","0.16"
"Very important Alchol is worse for you yet it's legal when weed has health benefits ","1","0.16"
"Very important. Laws need to help promote and rebuild the communities that have been ravaged by dangerous and discriminatory ""war on drugs"" policies.","1","0.16"
"Very long overdue","1","0.16"
"Very necessary and long overdue. ","1","0.16"
"Very supportive, medicinal and recreational both","1","0.16"
"Voted for it","1","0.16"
"way over due","1","0.16"
"way overdue","1","0.16"
"We should all be able to grow our own medicine if we want.","1","0.16"
"We will get there in time, probobly within the next decade. But government regulation seems bad considering they are one of the main opponents of legalization throughout the years. Having the FDA regulate cannabis feels foolish considering the people in that position right now are concerned with money, not quality. Massachusetts has potential, if these politicians get off their ass and make our future for the better, not for the money","1","0.16"
"What's taking so long?","1","0.16"
"what are we waiting for ","1","0.16"
"what are we waiting for???????!?!?!?!?","1","0.16"
"When God, when?","1","0.16"
"Where I am now it is very easy and leant","1","0.16"
"While I appreciate that legalization comes with a certain amount of destigmatization and and ability to have more systematic tracking of strains and production, I do believe that it has turned cannabis into another large industry at the expense of smaller producers and more locally-based distributors. I also believe that legalization without full pardoning of everyone previously convicted for cannabis-related offenses is despicable. ","1","0.16"
"Why are people making it so damn complicated?!? Nasty politics and old propaganda.😩","1","0.16"
"why not, at least could be revenue source (instead of ""black market"") ","1","0.16"
"Why should this plant be illegal?","1","0.16"
"Why was it ever illegal?","1","0.16"
"will be some risk of overdoing edibles.  hate smoking ","1","0.16"
"WOO HOO! More access, less stigma.","1","0.16"
"Works great for my disabilities ","1","0.16"
"YES","1","0.16"
"Yes already","1","0.16"
"yes!","1","0.16"
"Yes!","1","0.16"
"Yes, legalize it and keep it away from big pharma!","1","0.16"
"Yes. And also legal protection for cannabis users. ","1","0.16"
