"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10580913646,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10580341387,"15 grams to 1 ounce (~28 grams)","","","",""
10579927077,"","","","",""
10579646891,"","","","","2-3 grams"
10578271769,"1/4 ounce (~7 grams)","","","",""
10577642085,"","","","",""
10577209087,"","","","",""
10577144137,"1/2 gram","","","","2-3 grams"
10575878347,"1/2 gram","","","",""
10575849400,"","","","",""
10575471607,"4-6 grams","","","",""
10575274340,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 ounce (~7 grams)"
10575226552,"More than 1 ounce","","","","2-3 grams"
10574898510,"","","","",""
10572546454,"4-6 grams","","","",""
10572540138,"More than 1 ounce","","","","1/4 ounce (~7 grams)"
10569280747,"8 grams to 1/2 ounce (~14 grams)","","","","2-3 grams"
10567016644,"","","","",""
11213907729,"More than 1 ounce","","","",""
11212805644,"1/2 gram","","","",""
11186271761,"","1/4 gram or less","","","2-3 grams"
11170278059,"2-3 grams","","","",""
11151215837,"2-3 grams","","","","1/4 gram or less"
11072705197,"1/4 gram or less","","","",""
11042816472,"8 grams to 1/2 ounce (~14 grams)","2-3 grams","","","1  gram"
11037955315,"1  gram","","","",""
11009295893,"8 grams to 1/2 ounce (~14 grams)","","","",""
10974437681,"15 grams to 1 ounce (~28 grams)","","","",""
10965547652,"","","","",""
10628926943,"","","","",""
10625261595,"1/4 ounce (~7 grams)","","","",""
10598727391,"","","","",""
10593696728,"1/4 gram or less","","","",""
10593527279,"","","","","2-3 grams"
10583058257,"","","","",""
10583000127,"","","","",""
10581571841,"8 grams to 1/2 ounce (~14 grams)","","","","1  gram"
10580166038,"4-6 grams","","","","1/4 gram or less"
10580153046,"1/4 ounce (~7 grams)","","","",""
10579551441,"1/2 gram","","","",""
10579439505,"","","","",""
10767176517,"I don't know how much I use per week","","","",""
10760373939,"1/2 gram","","","",""
10758288741,"1/4 ounce (~7 grams)","","","",""
10719755952,"2-3 grams","1/4 gram or less","","","None"
10716623034,"","","","",""
10699810522,"I don't know how much I use per week","","","",""
10659241585,"1/4 ounce (~7 grams)","","","",""
10647255505,"","","","",""
10607782752,"","","","",""
10598306507,"","","","",""
10574111964,"","2-3 grams","","","1/4 gram or less"
10686658652,"8 grams to 1/2 ounce (~14 grams)","","","",""
10684698263,"15 grams to 1 ounce (~28 grams)","","","","1/4 gram or less"
10667647030,"8 grams to 1/2 ounce (~14 grams)","4-6 grams","","","2-3 grams"
