"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10232097349,"","","","6-25 mg","","","","","","",""
10231676273,"","","","","","","","","","",""
10230517511,"","","","","","","","","","",""
10229749100,"","","","5 mg or less","","","","","","",""
10229669631,"","","","","","","","","","",""
10229666678,"","","","6-25 mg","","","","","","",""
10229450623,"","","","5 mg or less","","","","","","",""
10229449766,"","","","","","","","","","",""
10229350099,"","","","5 mg or less","","","","","","",""
10229331171,"","","","","","","","","","",""
10199260945,"","","","","","","","","","",""
10192518925,"","","","","","","","","","",""
10188202259,"","","","","","","","","","",""
10179881172,"","","","6-25 mg","","","","","","",""
10174913763,"","","","","","","","","","",""
10168596483,"","","","51 - 100 mg","","","","","","",""
10162754933,"","","","","","","","","","",""
10152080971,"","","","5 mg or less","","","","","","",""
10146160169,"","","","5 mg or less","","","","","","",""
10146124602,"","","","","","","","","","",""
10143109892,"","","","","","","","","","",""
10142594370,"","","","","","","","","","",""
10131268897,"","","","201 - 500 mg","","","","","","",""
10129721114,"","","","26 - 50 mg","","","","","","",""
10127324019,"","","","6-25 mg","","","","","","",""
10127180821,"","","","5 mg or less","","","","","","",""
10118545790,"","","","","","","","","","",""
10113758110,"","","","","","","","","","",""
10112212744,"","","","101 - 200 mg","","","","","","",""
10468360710,"","","","","","","","","","",""
10275638274,"","","","201 - 500 mg","","","","","","",""
10234579821,"","","","","","","","","","",""
10231985248,"","","","51 - 100 mg","","","","","","",""
10231678479,"","","","","","","","","","",""
10231390490,"","","","","","","","","","",""
10231385105,"","","","","","","","","","5 mg or less",""
10230330738,"","","","","","","","","","",""
10229707932,"","","","5 mg or less","","","","","","",""
10229649057,"","","","1001 or more mg","","","","26 - 50 mg","","101 - 200 mg",""
10229627874,"","","","5 mg or less","","","","","","",""
10229505070,"","","","","","","","5 mg or less","","6-25 mg",""
10229426798,"","","","","","","","","","",""
10229408873,"","","","","","","","","","",""
10229396846,"","","","6-25 mg","","","","","","",""
10229326183,"","","","","","","","","","101 - 200 mg",""
10229300055,"","","","","","","","","","",""
10192677147,"","","","1001 or more mg","","","","","","",""
10192041422,"","","","","","","","","","",""
10186789647,"","","","51 - 100 mg","","","","","","",""
10167747571,"","","","26 - 50 mg","","","","","","",""
10167303076,"","","","","","","","","","",""
10166265569,"","","","","","","","","","",""
10166070277,"","","","","","","","","","",""
10159485373,"","","","5 mg or less","","","","","","",""
10156466084,"","","","","","","","","","",""
10146273078,"","","","","","","","","","",""
10143858890,"","","","","","","","","","",""
10143179433,"","","","","","","","","","",""
10136017627,"","","","","","","","","","",""
10131149670,"","","","","","","","","","",""
10129519603,"","","","6-25 mg","","","","","","",""
10129486983,"","","","6-25 mg","","","","","","",""
10127300314,"","","","5 mg or less","","","","","","",""
10120655061,"","","","","","","","","","",""
10113027515,"","","","","","","","","","",""
11320679343,"","","","","","","","","","",""
10631124791,"","","","","","","","","","",""
10630387074,"","","","26 - 50 mg","","","","","","",""
10263771500,"","","","","","","","","","",""
10255835761,"","","","","","","","","1001 or more mg","",""
10244599106,"","","","","","","","","","",""
10233820864,"","","","","","","","","","",""
10232035837,"","","","5 mg or less","","","","","","",""
10231434152,"","","","201 - 500 mg","","","","","","",""
10230249825,"","","","","","","","","","5 mg or less",""
10205960203,"","","","5 mg or less","","","","","","",""
10198838490,"","","","","","","","","","",""
10194311177,"","","","5 mg or less","","","","","","",""
10192805695,"","","","","","","","","","",""
10174274823,"","","","","","","","","","51 - 100 mg",""
10174148051,"","","","5 mg or less","","","","","","",""
10173431235,"","","","","","","","","","",""
10160136536,"","","","","","","","","","",""
10146146224,"","","","","","","","","","",""
10145514597,"","","","","","","","","","6-25 mg",""
10136711414,"","","","6-25 mg","","","","","","",""
10131233757,"","","","5 mg or less","","","","","","",""
10128242064,"","","","5 mg or less","","","","","","",""
10127160872,"","","","6-25 mg","","","","","","",""
10127158548,"","","","","","","","","","",""
10125692008,"","","","5 mg or less","","","","","","",""
10567408422,"","","","","","","","","","201 - 500 mg",""
10280889006,"","","","6-25 mg","","","","","","",""
10263513014,"","","","201 - 500 mg","","","","","","",""
10255028590,"","","","51 - 100 mg","","","","","","",""
10253635749,"","","","5 mg or less","","","","","","",""
10235412173,"","","","6-25 mg","","","","","","",""
10234287047,"","","","201 - 500 mg","","","","","","",""
10230820147,"","","","","","","","","","",""
10230235893,"","","","","","","","","","5 mg or less",""
10229839162,"","","","","","","","","","",""
10229570428,"","","","201 - 500 mg","","","","","","",""
10229561329,"","","","26 - 50 mg","","","","","","",""
10229507895,"","","","5 mg or less","","","","","","",""
